class,genus,species,synonyms,common_names,status
MAMMALIA,Allocebus,trichotis,Cheirogaleus trichotis,Hairy-eared dwarf lemur,VU
INSECTA,Allocnemis,maccleeryi,Chlorocnemis maccleeryi,,CR
INSECTA,Allocnemis,montana,Chlorocnemis montana,,EN
INSECTA,Allolestes,maclachlani,,,EN
INSECTA,Aloeides,caledoni,,,VU
INSECTA,Aloeides,carolynnae,,,VU
INSECTA,Aloeides,dentatis,,,VU
INSECTA,Aloeides,kaplani,,,VU
INSECTA,Aloeides,lutescens,,,VU
INSECTA,Aloeides,merces,,,VU
INSECTA,Aloeides,nubilus,,Cloud copper,EN
INSECTA,Aloeides,pringlei,,,VU
INSECTA,Aloeides,rossouwi,,,VU
AVES,Alopecoenas,erythropterus,Gallicolumba erythroptera,Polynesian ground-dove,CR
AVES,Alopecoenas,hoedtii,Gallicolumba hoedtii,Wetar ground-dove,EN
AVES,Alopecoenas,kubaryi,Gallicolumba kubaryi,Caroline ground-dove,VU
AVES,Alopecoenas,rubescens,Gallicolumba rubescens,Marquesas ground-dove,VU
AVES,Alopecoenas,sanctaecrucis,Gallicolumba sanctaecrucis,Santa Cruz ground-dove,EN
AVES,Alopecoenas,stairi,Gallicolumba stairi,Shy ground-dove,VU
MAMMALIA,Alouatta,belzebul,,Red-handed howler monkey,VU
MAMMALIA,Alouatta,discolor,,Spix's red-handed howler monkey,VU
MAMMALIA,Alouatta,pigra,,Yucatan black howler monkey,EN
MAMMALIA,Alouatta,ululata,,Red-handed Howler Monkey,EN
AMPHIBIA,Alsodes,barrioi,,Cabreria spiny-chest frog,VU
AMPHIBIA,Alsodes,montanus,Telmatobius montanus,Mountain spiny-chest frog,CR
AMPHIBIA,Alsodes,pehuenche,,Pehuenche spiny-chest frog,CR
AMPHIBIA,Alsodes,tumultuosus,,La Parva spiny-chest frog,CR
AMPHIBIA,Alsodes,vanzolinii,Eupsophus vanzolinii,Vanzolini's spiny-chest frog,CR
MAMMALIA,Alticola,montosa,,Central Kashmir vole,VU
AMPHIBIA,Altiphrynoides,malcolmi,Nectophrynoides malcolmi,Malcolm's Ethiopia toad,EN
AMPHIBIA,Altiphrynoides,osgoodi,Bufo osgoodi|Spinophrynoides osgoodi  ,Osgood's Ethiopian toad,CR
AMPHIBIA,Alytes,dickhilleni,,Betic midwife toad,VU
AMPHIBIA,Alytes,muletensis,,Mallorcan midwife toad,VU
AVES,Amandava,formosa,Estrilda formosa formosa,Green avadavat,VU
INSECTA,Amanipodagrion,gilliesi,,,CR
INSECTA,Amauris,comorana,,Comoro friar,EN
INSECTA,Amauris,nossima,,Madagascan friar,VU
INSECTA,Amauris,phoedon,,Mauritian friar,VU
AVES,Amaurocichla,bocagei,Amaurocichla bocagii bocagii,Sao tome short-tail,VU
AVES,Amaurornis,magnirostris,,Talaud bush-hen,VU
AVES,Amaurospiza,carrizalensis,,Carrizal seedeater,CR
AVES,Amazilia,boucardi,,Mangrove hummingbird,EN
AVES,Amazilia,castaneiventris,,Chestnut-bellied hummingbird,EN
AVES,Amazilia,luciae,,Honduran emerald,EN
AVES,Amazona,agilis,,Black-billed Amazon,VU
AVES,Amazona,arausiaca,,Red-necked Amazon,VU
AVES,Amazona,auropalliata,,Yellow-naped Amazon,VU
AVES,Amazona,barbadensis,,Yellow-shouldered Amazon,VU
AVES,Amazona,brasiliensis,,Red-tailed Amazon,VU
AVES,Amazona,collaria,,Yellow-billed Amazon,VU
AVES,Amazona,diadema,,Diademed Amazon,EN
AVES,Amazona,finschi,,Lilac-crowned Amazon,EN
AVES,Amazona,guildingii,,St Vincent Amazon,VU
AVES,Amazona,imperialis,,Imperial Amazon,EN
